source_id,ra,dec,name,proper_motion_ra,proper_motion_ra_unc,proper_motion_dec,proper_motion_dec_unc,publication_id
464,000.92612,-28.37806,2MASS J00034227-2822410,0.257,0.016,-0.145,0.018,290
,001.58542,-17.34739,2MASSI J0006205-172051,-0.032,0.017,0.017,0.018,290
468,002.50037,-20.52006,2MASS J00100009-2031122,0.100,0.022,0.007,0.023,290
,003.49079,-22.58889,2MASSI J0013578-223520,0.055,0.017,-0.051,0.019,290
,003.73229,-48.73808,2MASS J00145575-4844171,0.851,0.012,0.289,0.018,290
143,004.24804,-40.94836,2MASS J00165953-4056541,0.201,0.014,0.032,0.018,290
,008.23267,-44.08494,EROS-MP J0032-4405,0.126,0.015,-0.099,0.021,290
593,008.34942,-15.35858,2MASS J00332386-1521309,0.291,0.016,0.043,0.017,290
332,009.42942,-58.77303,2MASS J00374306-5846229,0.049,0.010,-0.051,0.020,290
,012.60183,-15.63844,SIPS J0050-1538,-0.229,0.018,-0.494,0.019,290
583,012.79492,-15.73803,2MASSW J0051107-154417,0.043,0.015,-0.021,0.016,290
100,013.32912,-36.51950,2MASS J00531899-3631102,0.018,0.015,-0.085,0.019,290
,013.52729,-0.51717,SDSSp J005406.55-003101.8,0.200,0.009,-0.160,0.009,290
,016.03125,-0.89119,2MASSI J0104075-005328,0.473,0.018,-0.021,0.018,290
620,016.59521,-59.55514,2MASS J01062285-5933185,0.046,0.010,-0.198,0.020,290
87,016.81696,-15.29936,2MASS J01071607-1517577,-0.031,0.016,0.011,0.017,290
686,016.96842,+0.69897,SDSSp J010752.33+004156.1,0.612,0.020,0.078,0.020,290
,017.28825,-49.91478,SSSPM J0109-4955,0.095,0.013,0.168,0.020,290
,019.22737,-13.95950,2MASS J01165457-1357342,-0.026,0.022,-0.110,0.022,290
317,019.44783,-34.05717,2MASSI J0117474-340325,0.080,0.017,-0.062,0.020,290
29,021.19162,-57.76053,2MASS J01244599-5745379,-0.003,0.010,0.018,0.019,290
,021.40371,-34.58469,2MASSI J0125369-343505,0.151,0.016,0.036,0.019,290
184,022.64846,-44.76142,2MASS J01303563-4445411,0.120,0.014,-0.025,0.020,290
,022.82658,+38.03206,2MASS J01311838+3801554,0.373,0.012,-0.031,0.015,290
,023.89942,+12.08933,2MASSW J0135358+120522,-0.042,0.023,-0.422,0.023,290
736,025.26337,+18.08061,2MASSW J0141032+180450,0.403,0.011,-0.045,0.012,290
258,025.31162,-24.29197,2MASS J01411479-2417311,-0.161,0.017,-0.303,0.019,290
183,025.49262,-46.56594,2MASS J01415823-4633574,0.104,0.017,-0.026,0.024,290
260,026.14733,-7.27061,2MASS J01443536-0716142,0.395,0.018,-0.204,0.018,290
282,026.50496,-45.75731,2MASS J01460119-4545263,0.121,0.016,0.060,0.023,290
,026.88933,+34.88644,2MASSW J0147334+345311,0.037,0.009,-0.055,0.011,290
,028.76475,+9.83342,2MASS J01550354+0950003,0.338,0.023,-0.080,0.023,290
,031.09217,-36.54189,2MASS J02042212-3632308,0.193,0.017,-0.034,0.021,290
134,031.26433,+12.86172,2MASSW J0205034+125142,0.349,0.011,-0.018,0.011,290
,031.53667,+22.59981,SDSS J020608.97+223559.2,0.341,0.015,-0.062,0.016,290
,031.89821,+13.93233,SDSS J020735.60+135556.3,0.260,0.017,-0.161,0.018,290
307,032.07637,+25.71481,2MASSW J0208183+254253,0.356,0.010,-0.021,0.011,290
174,032.09846,+27.62778,2MASSW J0208236+273740,0.217,0.013,-0.110,0.014,290
,032.22912,+25.01356,2MASSW J0208549+250048,-0.022,0.011,0.060,0.012,290
,032.86779,+14.16775,SDSS J021128.25+141003.8,-0.092,0.010,-0.030,0.010,290
190,034.62137,-31.55639,2MASSI J0218291-313322,-0.165,0.015,-0.138,0.018,290
472,034.84150,+5.10850,2MASS J02192196+0506306,0.190,0.024,0.005,0.024,290
296,035.36858,-68.52778,2MASS J02212859-6831400,0.046,0.006,-0.006,0.017,290
476,035.47912,-54.20150,2MASS J02215494-5412054,0.136,0.010,-0.010,0.017,290
731,035.97692,-58.25186,2MASS J02235464-5815067,0.134,0.010,0.005,0.019,290
732,036.32838,-58.62486,2MASS J02251947-5837295,0.085,0.010,-0.030,0.018,290
733,036.79317,-16.41331,2MASS J02271036-1624479,0.426,0.016,-0.297,0.017,290
,037.17679,+16.65914,2MASS J02284243+1639329,0.422,0.020,-0.412,0.021,290
,037.18146,-63.41811,2MASS J02284355-6325052,0.593,0.010,0.458,0.023,290
833,037.56462,+27.06836,2MASS J02301551+2704061,0.189,0.008,-0.007,0.010,290
,038.94817,-8.82217,SDSS J023547.56-084919.8,-0.044,0.013,0.013,0.013,290
615,039.07475,+0.81522,SDSSp J023617.93+004855.0,0.123,0.012,-0.176,0.012,290
693,039.92687,-17.59642,2MASSI J0239424-173547,0.042,0.017,-0.095,0.018,290
99,040.47362,-12.68525,2MASSI J0241536-124106,0.312,0.016,-0.040,0.017,290
,040.68146,+16.12756,2MASSW J0242435+160739,0.152,0.011,-0.210,0.012,290
,040.96262,-54.53872,2MASS J02435103-5432194,0.096,0.011,-0.026,0.019,290
1429,041.95742,-16.52033,SDSS J024749.90-163112.6,0.313,0.017,0.143,0.017,290
,044.00787,+1.17964,SDSS J025601.86+011047.2,0.025,0.015,-0.068,0.015,290
,044.35754,-31.09786,2MASS J02572581-3105523,0.602,0.018,0.320,0.021,290
,045.50508,+13.97061,2MASSI J0302012+135814,0.055,0.015,-0.037,0.016,290
,045.83846,-0.16050,SDSSp J030321.24-000938.2,0.025,0.017,-0.023,0.017,290
,046.61183,+15.75381,2MASSW J0306268+154514,0.212,0.017,-0.071,0.018,290
,047.28700,-19.82742,2MASSW J0309088-194938,0.184,0.016,-0.038,0.017,290
,047.50221,+7.44739,2MASS J03100053+0726506,0.539,0.022,0.254,0.022,290
326,047.55837,-27.94589,2MASS J03101401-2756452,-0.116,0.016,-0.052,0.018,290
,047.74942,+16.80431,2MASSW J0310599+164816,-0.706,0.019,0.119,0.020,290
,048.43512,+4.55458,2MASS J03134443+0433165,-0.049,0.022,0.006,0.022,290
578,048.51433,+16.05156,2MASS J03140344+1603056,-0.241,0.018,-0.076,0.019,290
327,048.66712,-4.84211,2MASS J03144011-0450316,-0.068,0.018,-0.119,0.018,290
328,049.18800,-28.81447,2MASSI J0316451-284852,0.107,0.017,-0.081,0.019,290
330,049.72512,-34.35811,2MASS J03185403-3421292,0.365,0.016,0.017,0.019,290
331,050.07167,-10.43678,2MASS J03201720-1026124,0.013,0.018,-0.100,0.018,290
,050.11829,-4.77661,2MASSW J0320284-044636,-0.267,0.016,-0.533,0.016,290
577,050.79175,-46.52325,2MASS J03231002-4631237,0.060,0.013,-0.010,0.019,290
,051.25567,+22.88442,2MASS J03250136+2253039,0.405,0.013,-0.146,0.014,290
1295,051.47175,+4.42794,SDSS J032553.17+042540.1,-0.183,0.014,-0.099,0.014,290
872,051.67604,-21.03492,2MASS J03264225-2102057,0.108,0.014,-0.146,0.015,290
589,051.92046,-31.80433,2MASS J03274091-3148156,0.038,0.017,0.018,0.020,290
,052.07242,+0.54922,SDSSp J032817.38+003257.2,0.195,0.013,0.033,0.013,290
,052.57392,+0.01325,SDSSp J033017.77+000047.8,-0.011,0.018,-0.046,0.018,290
406,052.64629,-0.42628,SDSSp J033035.13-002534.5,0.394,0.015,-0.336,0.015,290
,053.00179,-23.29711,2MASS J03320043-2317496,-0.013,0.020,-0.153,0.022,290
63,053.55017,-49.89228,2MASS J03341218-4953322,2.308,0.012,0.480,0.019,290
,053.93896,+6.96828,2MASS J03354535+0658058,0.029,0.021,-0.333,0.021,290
252,054.26496,-17.96886,2MASSW J0337036-175807,0.191,0.031,0.115,0.033,290
,055.03925,-67.40142,2MASS J03400942-6724051,-0.318,0.007,0.508,0.018,290
156,055.56754,-68.29225,2MASS J03421621-6817321,0.064,0.007,0.021,0.018,290
,057.70254,-5.30350,SDSS J035048.62-051812.8,0.012,0.022,-0.028,0.022,290
1385,057.76763,+48.17992,SDSS J035104.37+481046.8,0.312,0.019,-0.180,0.029,290
,058.70229,-0.46167,SDSS J035448.73-002742.1,-0.011,0.022,-0.019,0.022,290
351,058.76987,-10.54486,2MASS J03550477-1032415,0.046,0.018,-0.044,0.019,290
700,058.84737,+11.56214,2MASS J03552337+1133437,0.192,0.017,-0.613,0.017,290
,058.92463,+22.95044,2MASSW J0355419+225702,0.146,0.014,-0.025,0.016,290
,059.33792,-6.69056,SDSS J035721.11-064126.0,0.109,0.012,0.008,0.012,290
225,059.36229,-44.29181,DENIS-P J035726.9-441730,0.064,0.013,-0.020,0.019,290
223,059.59396,-41.26833,2MASS J03582255-4116060,0.051,0.015,0.075,0.020,290
222,060.37404,-40.84578,2MASS J04012977-4050448,-0.036,0.015,-0.102,0.020,290
229,061.78133,+15.77936,2MASS J04070752+1546457,0.049,0.019,-0.044,0.020,290
1386,061.78687,+15.24903,2MASS J04070885+1514565,0.106,0.016,-0.110,0.017,290
,062.04300,+7.71372,2MASS J04081032+0742494,0.162,0.020,0.095,0.020,290
51,062.12104,-14.84261,2MASSI J0408290-145033,0.188,0.017,-0.131,0.018,290
,062.28958,+21.07758,2MASSI J0409095+210439,0.094,0.015,-0.145,0.016,290
,063.33496,-1.24022,SDSSp J041320.38-011424.9,0.070,0.017,0.001,0.017,290
542,064.44762,-21.48864,2MASS J04174743-2129191,0.072,0.017,0.022,0.018,290
,065.27992,-63.10061,2MASS J04210718-6306022,0.146,0.008,0.191,0.018,290
,066.78012,+8.98408,2MASS J04270723+0859027,-0.121,0.021,-0.005,0.021,290
348,067.21233,-22.88964,2MASSI J0428510-225323,0.113,0.012,0.155,0.013,290
608,067.71487,-8.81686,2MASS J04305157-0849007,-0.021,0.017,-0.171,0.018,290
756,068.81062,-14.24633,2MASS J04351455-1414468,0.009,0.014,0.016,0.014,290
760,069.11529,+11.85675,2MASS J04362767+1151243,0.117,0.020,-0.009,0.020,290
759,069.11617,-41.24625,2MASS J04362788-4114465,0.073,0.012,0.013,0.016,290
758,069.20913,-18.05728,2MASS J04365019-1803262,0.204,0.017,-0.015,0.018,290
502,069.75421,-23.88564,2MASSI J0439010-235308,-0.110,0.015,-0.152,0.016,290
,070.77421,-32.03583,2MASSI J0443058-320209,-0.013,0.015,0.211,0.018,290
751,070.90671,+0.03475,2MASS J04433761+0002051,0.028,0.014,-0.099,0.014,290
,071.06162,+5.73258,2MASS J04441479+0543573,0.095,0.021,-0.006,0.021,290
265,071.29662,-6.04794,2MASS J04451119-0602526,0.047,0.017,0.007,0.018,290
