 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 000.05642|+25.90504|SDSS J000013.54+255418.6 | 0.0060| 0.0190| 0.1300| 0.0220|210|7.0| 1.0|1274
 000.30068|+15.59323|SDSS J000112.18+153535.5 | 0.1500| 0.0230|-0.1690| 0.0150|210| 31.0| 7.0|204
 000.92621|-28.37810|2MASS J00034227-2822410| 0.2570| 0.0160|-0.1450| 0.0180|219| 37.0| 4.0|464
 001.14526|-40.73511|GJ 1001B, LHS 102B | 0.6440| 0.0030|-1.4940| 0.0020|223|100.4| 5.2|
 001.17279|-20.97495|2MASS J00044144-2058298| 0.8260| 0.0760|-0.0090| 0.0750|227| 70.0|14.0|
 001.45194|-21.95546|2MASS J00054844-2157196| 0.7030| 0.0240|-0.1190| 0.0040|228| 78.0|11.0| 
 001.58540|-17.34738|2MASSI J0006205-172051 |-0.0320| 0.0170| 0.0170| 0.0180|219|7.0| 4.0| 
 001.78286|-24.96785|2MASS J00070787-2458042| 0.1890| 0.0220|-0.0510| 0.0060|228| 28.0| 5.0|465
 002.50042|-20.52004|2MASS J00100009-2031122| 0.1170| 0.0200| 0.0310| 0.0170|210| 17.0| 3.0|468
 003.49081|-22.58891|2MASSI J0013578-223520 | 0.0550| 0.0170|-0.0510| 0.0190|219| 12.0| 3.0| 
 003.73236|-48.73807|2MASS J00145575-4844171| 0.8510| 0.0120| 0.2890| 0.0180|219| 88.0| 7.0| 
 003.93650|+35.26738|2MASSW J0015447+351603 | 0.0830| 0.0180|-0.2460| 0.0140|210| 25.0| 2.0|844
 004.24807|-40.94836|2MASS J00165953-4056541| 0.2010| 0.0140| 0.0320| 0.0180|219| 30.0| 4.0|143
 004.79855| +0.50489|SDSS J001911.65+003017.8 |-0.0290| 0.0180|-0.0250| 0.0110|210|7.0| 3.0| 
 004.85948|+46.23547|2MASS J00192626+4614078| 0.1400| 0.0600|-0.1000| 0.0500|236| 16.0| 6.0|715
 004.94094|+52.22161|2MASS J00194579+5213179| 0.2700| 0.2000|-0.1000| 0.2300|236| 26.0|17.0|714
 006.10260| -1.97220|2MASS J00242463-0158201|-0.0800| 0.0040| 0.1330| 0.0060|241|8.7| 0.6|722
 006.26536|+47.98864|2MASS J00250365+4759191AB| 0.3120| 0.0390|-0.0090| 0.0440|214| 46.0|11.0|590
 006.92487| +5.06158|2MASS J00274197+0503417| 0.0105| 0.0004|-0.0008| 0.0003|215|3.6| 0.4|17
 006.98326|+22.32567|2MASS J00275592+2219328| 0.4000| 0.0400|-0.1700| 0.0400|236| 21.0| 3.0|824
 007.62549|-14.84258|2MASSW J0030300-145033 | 0.2450| 0.0040|-0.0280| 0.0020|244| 31.2| 3.8|856
 007.68263|+31.65888|2MASSW J0030438+313932 |-0.0490| 0.0160|-0.0570| 0.0140|210| 15.0| 3.0| 
 007.97817| +6.82952|2MASS J00315477+0649463| 0.2700| 0.1000| 0.0700| 0.0600|236| 35.0|13.0| 
 008.02114| +2.31719|2MASS J00320509+0219017| 0.4170| 0.0170|-0.3120| 0.0130|210| 67.0| 5.0|1095
 008.17954|-22.62421|2MASSI J0032431-223727 | 0.1150| 0.0270| 0.0230| 0.0150|210| 27.0| 6.0| 
